country,year,gdp
Afghanistan,2000.0,11283793920.0
Afghanistan,2023.0,45709816441.66546
Albania,2000.0,14736835584.0
Albania,2023.0,22444407943.927704
Algeria,2000.0,208554147840.0
Algeria,2023.0,568576354523.5587
Angola,2000.0,23512182784.0
Angola,2023.0,109564802802.85576
Argentina,2000.0,536480972800.0
Argentina,2023.0,864444473751.7454
Armenia,2000.0,15244825600.0
Armenia,2023.0,21608530010.424328
Australia,2000.0,692059308032.0
Australia,2023.0,1373028859238.1335
Austria,2000.0,280410161152.0
Austria,2023.0,337330694046.4392
Azerbaijan,2000.0,34255706112.0
Azerbaijan,2023.0,135828851231.57112
Bahrain,2000.0,11032289280.0
Bahrain,2023.0,49220323350.5938
Bangladesh,2000.0,200824291328.0
Bangladesh,2023.0,491299203543.6062
Barbados,2000.0,3452406272.0
Barbados,2023.0,7650056525.501589
Belarus,2000.0,91419115520.0
Belarus,2023.0,230860132306.82767
Belgium,2000.0,345706889216.0
Belgium,2023.0,403487216781.1231
Benin,2000.0,12746225664.0
Benin,2023.0,23509891191.999344
Bolivia,2000.0,34126235648.0
Bolivia,2023.0,68228660531.894646
Bosnia and Herzegovina,2000.0,27629709312.0
Bosnia and Herzegovina,2023.0,38991341703.13278
Botswana,2000.0,13391002624.0
Botswana,2023.0,38007675737.9571
Brazil,2000.0,1739727962112.0
Brazil,2023.0,3228976221674.8354
Bulgaria,2000.0,67719766016.0
Bulgaria,2023.0,156706721785.3102
Burkina Faso,2000.0,14546973696.0
Burkina Faso,2023.0,31858094004.536213
Burundi,2000.0,4647178240.0
Burundi,2023.0,7169059321.9842615
Cambodia,2000.0,20435398656.0
Cambodia,2023.0,70272534020.1962
Cameroon,2000.0,31207712768.0
Cameroon,2023.0,66130627290.88747
Canada,2000.0,1137681367040.0
Canada,2023.0,2188824966120.045
Cape Verde,2000.0,1540942336.0
Cape Verde,2023.0,23582650986.00205
Central African Republic,2000.0,3836505856.0
Central African Republic,2023.0,-11891182374.491137
Chad,2000.0,5599887872.0
